,Title,Distributor,Runtime,Rating,Action,Adventure,Biography,Comedy,Crime,Documentary,Drama,Family,History,Horror,Music,Mystery,Romance,Sport,Thriller,War,Western,Budget,Domestic_Gross
287,300,Warner Bros.,117.0,R,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60000000,210614939
288,300: Rise of an Empire,Warner Bros.,102.0,R,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,110000000,106580051
290,Predators,Twentieth Century Fox,107.0,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000,52000688
291,The Predator,Twentieth Century Fox,107.0,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88000000,51024708
292,Predator 2,Twentieth Century Fox,108.0,R,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35000000,28317513
293,John Wick,Lionsgat,101.0,R,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,30000000,43037835
294,Ted,Universal Pictures,106.0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,50000000,218665740
295,Ted 2,Universal Pictures,115.0,R,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68000000,81476385
296,Grown Ups,ony Pictures Entertainment (SPE),102.0,PG-13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,75000000,162001186
297,Grown Ups 2,ony Pictures Entertainment (SPE),101.0,PG-13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,80000000,133668525
299,Vacation,Warner Bros.,99.0,R,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31000000,58884188
300,Rio,Twentieth Century Fox,96.0,PG,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90000000,143619809
301,Rio 2,Twentieth Century Fox,101.0,G,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,130000000,131538435
302,Mary Poppins Returns,Walt Disney Studios Motion Pictures,130.0,PG,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,130000000,171958438
303,G.I. Joe: The Rise of Cobra,Paramount Pictures,118.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175000000,150201498
304,G.I. Joe: Retaliation,Paramount Pictures,110.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140000000,122523060
306,Resident Evil: Afterlife,creen Gems,96.0,R,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,57500000,60128566
307,Resident Evil: Apocalypse,creen Gems,94.0,R,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,50000000,50740078
308,Resident Evil: Extinction,creen Gems,94.0,R,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45000000,50648679
309,Resident Evil: Retribution,creen Gems,95.0,R,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,65000000,42345531
310,Resident Evil,creen Gems,100.0,R,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35000000,40119709
311,Resident Evil: The Final Chapter,creen Gems,107.0,R,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40000000,26844692
312,The Smurfs,ony Pictures Entertainment (SPE),103.0,PG,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,110000000,142614158
313,The Final Destination,Warner Bros.,82.0,R,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,40000000,66477700
314,Final Destination 3,New Line Cinema,93.0,R,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,25000000,54098051
315,Final Destination,New Line Cinema,98.0,R,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,23000000,53302314
316,Final Destination 2,New Line Cinema,90.0,R,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,26000000,46896664
317,Final Destination 5,Warner Bros.,92.0,R,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,40000000,42587643
318,Underworld: Awakening,creen Gems,88.0,R,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,70000000,62321039
319,Underworld: Evolution,creen Gems,106.0,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,45000000,62318875
320,Underworld,creen Gems,121.0,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22000000,51970690
321,Underworld: Blood Wars,creen Gems,91.0,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000000,30353973
322,The Croods,Twentieth Century Fox,98.0,PG,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,135000000,187168425
323,Cloudy with a Chance of Meatballs,ony Pictures Entertainment (SPE),90.0,PG,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100000000,124870275
324,Cloudy with a Chance of Meatballs 2,ony Pictures Entertainment (SPE),95.0,PG,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,78000000,119793567
325,The Maze Runner,Twentieth Century Fox,113.0,PG-13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34000000,102427862
326,Maze Runner: The Scorch Trials,Twentieth Century Fox,131.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61000000,81697192
327,Maze Runner: The Death Cure,Twentieth Century Fox,143.0,PG-13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61000000,58032443
